index,created_at,update_at,name,project_id,user_id,date_start,id,date_end,detail,color,status,create_by,update_by,date_complete,parent_id,date_checked,area,is_interrupted,list_interrupted,date_started,date_accepted,is_onlychecked,folder,file_attach
0,2026-04-24 07:09:30.428981+00,2026-04-24 07:09:30.428981+00,MAC : L2-5,8fd2a544-5521-42e9-8471-4f8de800ce06,8f4db68c-dbcf-4c2f-8e0c-7fa8c79a74ff,2026-04-24 07:09:00+00,7dd429ee-5132-44c7-8abd-3139b9fe37dc,2026-04-24 10:30:00+00,,#7C2D12,6,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,0001-01-01 00:00:00+00,,0001-01-01 00:00:00+00,0,FALSE,,2026-04-24 07:08:21.713356+00,0001-01-01 00:00:00+00,FALSE,,[]
0,2026-04-24 05:04:56.488015+00,2026-04-24 05:04:56.488015+00,570LB : MARKUP R1,fbac4978-0011-4309-be87-1fed2423d4a3,1c801c6a-3acb-456e-a579-ce08509fc3df,2026-04-24 05:04:00+00,3a4d8cd9-8d40-4cd8-b020-3f2462552c8f,2026-04-24 10:30:00+00,,#7A2E0E,0,nhan.nguyen@rincovitch.com.au,nhan.nguyen@rincovitch.com.au,2026-04-24 05:30:23.309727+00,,2026-04-24 05:30:34.038103+00,0,FALSE,,2026-04-24 05:30:28.204558+00,0001-01-01 00:00:00+00,FALSE,_GA PLAN,"[{""Name"":""260424_570LB-GA&SECTION 1.pdf"",""Id"":""37611c90-8f1f-4336-b99f-161d5f540e47.pdf""}]"
0,2026-04-24 04:59:00.01986+00,2026-04-24 04:59:00.01986+00,MORAY : L12-24,cf316b36-b544-46b3-87f5-caf4bf7302ed,c1d7b6b5-c453-4a79-a0af-1b286637eec5,2026-04-24 04:58:00+00,16cd6044-b0a5-4f8d-8608-7595976c3335,2026-04-24 05:30:00+00,,#1E40AF,6,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,0001-01-01 00:00:00+00,,0001-01-01 00:00:00+00,0,FALSE,,2026-04-24 05:04:36.91255+00,2026-04-24 04:54:02.928629+00,FALSE,,[]
0,2026-04-24 04:50:37.089001+00,2026-04-24 04:50:37.089001+00,MORAY : L12-24,cf316b36-b544-46b3-87f5-caf4bf7302ed,8f4db68c-dbcf-4c2f-8e0c-7fa8c79a74ff,2026-04-24 04:50:00+00,8c8d84ec-5885-4602-9e67-78590c2057ed,2026-04-24 05:30:00+00,,#1E40AF,0,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,2026-04-24 07:21:25.886777+00,,2026-04-24 07:11:23.254147+00,0,FALSE,,2026-04-24 04:49:07.384317+00,0001-01-01 00:00:00+00,FALSE,,[]
0,2026-04-24 04:24:40.138686+00,2026-04-24 04:24:40.138686+00,MEL02 : GF L2 L4,9ea343db-e42b-4a99-bd01-ce1ab0158771,1c801c6a-3acb-456e-a579-ce08509fc3df,2026-04-24 04:24:00+00,98bd88e1-a65e-48ba-813f-88fc4ae4694e,2026-04-24 10:30:00+00,,#1E3A8A,6,nhan.nguyen@rincovitch.com.au,nhan.nguyen@rincovitch.com.au,0001-01-01 00:00:00+00,,0001-01-01 00:00:00+00,0,FALSE,,2026-04-24 05:31:12.802304+00,0001-01-01 00:00:00+00,FALSE,_LOADING PLAN,"[{""Name"":""260422_MEL02-GF,L2,L4-LOADING PLAN.pdf"",""Id"":""d5f29301-f8d4-4059-bac5-6602ba746a3e.pdf""}]"
0,2026-04-24 04:19:03.707459+00,2026-04-24 04:19:03.707459+00,LEEDS : L3-SHEAR,c66187a1-a97f-4b2f-ba60-aae11cb3d8f6,c1d7b6b5-c453-4a79-a0af-1b286637eec5,2026-04-24 04:18:00+00,e69e0fa4-2f32-4d6a-9978-be11172be056,2026-04-24 05:30:00+00,,#0F766E,0,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,2026-04-24 06:45:23.432138+00,,2026-04-24 04:58:51.011273+00,0,FALSE,,2026-04-24 04:14:58.761116+00,2026-04-24 04:14:56.885639+00,FALSE,,[]
0,2026-04-24 04:01:49.955949+00,2026-04-24 04:01:49.955949+00,MORAY : L12-24,cf316b36-b544-46b3-87f5-caf4bf7302ed,dd9f64e9-dc7f-493e-b3e1-9a6de209c4c6,2026-04-24 04:01:00+00,6f4b612f-6904-4e76-8910-b6794be76ad2,2026-04-24 05:30:00+00,,#1E40AF,0,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,2026-04-24 07:21:25.337117+00,,2026-04-24 07:17:00.137155+00,0,FALSE,,2026-04-24 03:59:12.361884+00,0001-01-01 00:00:00+00,FALSE,,[]
0,2026-04-24 02:10:26.987105+00,2026-04-24 02:10:26.987105+00,LEEDS : L3-CD,c66187a1-a97f-4b2f-ba60-aae11cb3d8f6,3b6de76e-c05c-48d4-8b66-683d9340609b,2026-04-24 02:09:00+00,83125a75-dd0a-43f6-8277-b6fc03326b7f,2026-04-24 05:30:00+00,,#0F766E,0,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,2026-04-24 06:45:21.283469+00,,2026-04-24 04:25:26.592833+00,0,FALSE,,2026-04-24 02:09:51.303335+00,0001-01-01 00:00:00+00,FALSE,,[]
0,2026-04-24 01:46:24.563102+00,2026-04-24 01:46:24.563102+00,MEL02 : L4 A,9ea343db-e42b-4a99-bd01-ce1ab0158771,8e428aeb-3ef8-4303-aba2-0cb6c1148ff6,2026-04-24 01:46:00+00,0fb42dc1-52f3-4cf2-86ba-4e4797ef7dcf,2026-04-24 05:30:00+00,,#1E3A8A,6,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,0001-01-01 00:00:00+00,,0001-01-01 00:00:00+00,0,FALSE,,2026-04-24 01:44:51.404779+00,0001-01-01 00:00:00+00,FALSE,,[]
0,2026-04-24 01:43:15.582074+00,2026-04-24 01:43:15.582074+00,LEEDS : L4-TOP-CD,c66187a1-a97f-4b2f-ba60-aae11cb3d8f6,dd9f64e9-dc7f-493e-b3e1-9a6de209c4c6,2026-04-24 01:43:00+00,b2fb5ddc-3579-4379-9d41-09cb3945152b,2026-04-24 05:30:00+00,,#0F766E,0,cuong.pham@rincovitch.com.au,cuong.pham@rincovitch.com.au,2026-04-24 04:01:34.26596+00,,2026-04-24 03:57:40.457553+00,0,FALSE,,2026-04-24 01:39:31.82179+00,0001-01-01 00:00:00+00,FALSE,,[]
